Study_ID,Bib_Search_Complete
3,
39,
46,
51,
54,
60,
61,
85,
92,
99,
101,
113,
131,
138,
139,
148,
168,
171,
172,
175,
182,
192,
195,
214,
217,
219,
226,
231,
238,
256,
260,
261,
266,
273,
274,
278,
288,
292,
300,
307,
311,
312,
314,
319,
321,
322,
327,
328,
333,
336,
342,
345,
348,
349,
353,
356,
359,
360,
369,
370,
373,
375,
377,
380,
382,
386,
399,
401,
402,
405,
406,
409,
414,
416,
421,
428,
431,
432,
439,
441,
442,
443,
444,
450,
451,
456,
460,
461,
465,
471,
475,
476,
482,
483,
484,
485,
