Study_ID,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Exclude_FINAL
245,True,2.0,,,,,True
246,False,,,,,,False
247,False,,,,,,False
248,False,,True,3.0,True,3.0,True
249,True,2.0,,,,,True
250,False,,,,,,False
251,False,,,,,,False
252,False,,,,,,False
253,False,,,,,,False
254,False,2.0,,,,,False
255,False,,,,,,False
256,False,,,,,,False
257,False,,,,,,False
258,False,,,,,,False
259,True,4.0,,,,,True
260,False,,,,,,False
261,False,,,,,,False
262,False,,,,,,False
263,False,,,,,,False
264,False,,,,,,False
265,True,2.0,,,,,True
266,False,,,,,,False
267,True,2.0,,,,,True
268,False,,,,,,False
269,False,,,,,,False
270,False,,,,,,False
271,True,7.0,,,,,True
272,True,2.0,,,,,True
273,False,,,,,,False
274,False,,,,,,False
275,False,,,,,,False
276,False,,,,,,False
277,False,,,,,,False
278,False,,,,,,False
279,False,,,,,,False
280,False,,,,,,False
281,True,5.0,,,,,True
282,True,5.0,,,,,True
283,False,,,,,,False
284,False,,,,,,False
285,True,2.0,,,,,True
286,True,4.0,,,,,True
287,False,,,,,,False
288,False,,,,,,False
289,False,,True,3.0,False,,False
290,False,,,,,,False
291,False,,,,,,False
292,False,,,,,,False
293,False,,False,,,,False
294,True,7.0,,,,,True
295,False,,,,,,False
296,False,,,,,,False
297,False,,,,,,False
298,True,4.0,,,,,True
299,False,,,,,,False
300,False,,,,,,False
301,True,5.0,,,,,True
302,True,3.0,,,,,True
303,False,,,,,,False
304,False,,,,,,False
305,True,2.0,,,,,True
306,True,3.0,,,,,True
307,False,,False,,,,False
308,False,,,,,,False
309,True,2.0,,,,,True
310,False,,,,,,False
311,False,,,,,,False
312,False,,False,,,,False
313,False,,,,,,False
314,False,,,,,,False
315,False,,,,,,False
316,False,,,,,,False
317,False,,True,3.0,False,,False
318,True,4.0,,,,,True
319,False,,,,,,False
320,False,,,,,,False
321,False,,,,,,False
322,False,,True,3.0,False,,False
323,False,,,,,,False
324,False,,,,,,False
325,True,7.0,True,7.0,,,True
326,True,2.0,,,,,True
327,False,,,,,,False
328,False,,,,,,False
329,True,3.0,,,,,True
330,False,,,,,,False
331,False,,,,,,False
332,True,4.0,True,3.0,,,True
333,False,,,,,,False
334,False,,,,,,False
335,False,,,,,,False
336,False,,,,,,False
337,False,,,,,,False
338,True,3.0,,,,,True
339,False,,,,,,False
340,False,,,,,,False
341,False,,,,,,False
342,False,,,,,,False
343,False,,,,,,False
344,False,,,,,,False
345,False,,,,,,False
346,False,,,,,,False
347,True,2.0,,,,,True
348,False,,,,,,False
349,False,,,,,,False
350,True,4.0,,,,,True
351,False,,,,,,False
352,True,5.0,,,,,True
353,False,,,,,,False
354,False,,,,,,False
355,False,,,,,,False
356,False,,,,,,False
357,True,3.0,,,,,True
358,False,,,,,,False
359,False,,,,,,False
360,False,,,,,,False
361,False,,,,,,False
362,False,,False,,,,False
363,False,,,,,,False
364,True,4.0,,,,,True
365,False,,,,,,False
366,False,,,,,,False
367,False,,,,,,False
368,False,,,,,,False
369,False,,,,,,False
370,False,,,,,,False
371,False,,,,,,False
372,False,,,,,,False
373,False,,,,,,False
374,False,,,,,,False
375,False,,,,,,False
376,True,3.0,,,,,True
377,False,,,,,,False
378,False,,,,,,False
379,False,,,,,,False
380,False,,,,,,False
381,False,,,,,,False
382,False,,,,,,False
383,False,,,,,,False
384,False,,,,,,False
385,False,,,,,,False
386,False,,,,,,False
387,True,4.0,,,,,True
388,False,,,,,,False
389,False,,,,,,False
390,False,,,,,,False
391,True,2.0,,,,,True
392,False,,,,,,False
393,True,7.0,,,,,True
394,False,,,,,,False
395,False,,,,,,False
396,False,,,,,,False
397,False,,,,,,False
398,True,2.0,,,,,True
399,False,,,,,,False
400,True,3.0,,,,,True
401,False,,,,,,False
402,False,,,,,,False
403,False,,,,,,False
404,False,,,,,,False
405,False,,,,,,False
406,False,,,,,,False
407,True,2.0,,,,,True
408,True,2.0,,,,,True
409,False,,,,,,False
410,False,,,,,,False
411,True,2.0,,,,,True
412,False,,,,,,False
413,True,7.0,,,,,True
414,False,,,,,,False
415,False,,,,,,False
416,False,,,,,,False
417,False,,,,,,False
418,False,,,,,,False
419,True,2.0,,,,,True
420,True,4.0,,,,,True
421,False,,,,,,False
422,True,2.0,,,,,True
423,False,,,,,,False
424,True,1.0,,,,,True
425,True,2.0,True,2.0,,,True
426,True,4.0,False,,True,4.0,True
427,True,5.0,,,,,True
428,False,,,,,,False
429,False,,,,,,False
430,False,,,,,,False
431,False,,,,,,False
432,False,,,,,,False
433,False,,,,,,False
434,False,,,,,,False
435,False,,,,,,False
436,True,4.0,,,,,True
437,False,,True,3.0,False,,False
438,True,2.0,,,,,True
439,False,,,,,,False
440,True,2.0,,,,,True
441,False,,,,,,False
442,False,,,,,,False
443,False,,,,,,False
444,False,,,,,,False
445,False,,,,,,False
446,True,4.0,,,,,True
447,False,,,,,,False
448,False,,True,3.0,True,3.0,True
449,True,7.0,,,,,True
450,False,,,,,,False
451,False,,,,,,False
452,True,3.0,,,,,True
453,True,2.0,True,2.0,,,True
454,False,,,,,,False
455,True,2.0,,,,,True
456,False,,,,,,False
457,True,7.0,,,,,True
458,True,2.0,,,,,True
459,False,,True,2.0,True,5.0,True
460,False,,,,,,False
461,False,,,,,,False
462,True,2.0,,,,,True
463,True,3.0,,,,,True
464,True,7.0,,,,,True
465,False,,,,,,False
466,False,,,,,,False
467,False,,,,,,False
468,True,2.0,,,,,True
469,True,4.0,,,,,True
470,False,4.0,,,,,False
471,False,,,,,,False
472,True,3.0,,,,,True
473,True,3.0,,,,,True
474,False,,,,,,False
475,False,,False,,,,False
476,False,,,,,,False
477,False,,,,,,False
478,False,,,,,,False
479,True,2.0,True,2.0,,,True
480,False,,,,,,False
481,True,3.0,,,,,True
482,False,,False,,,,False
483,False,,,,,,False
484,False,,,,,,False
485,False,,False,,,,False
486,False,,,,,,False
487,False,,,,,,False
488,False,,,,,,False
489,False,,,,,,False
490,True,7.0,True,2.0,,,True
491,True,4.0,,,,,True
